Topic,Title,Description
Announcements and Updates,"Despicable Me 4: When and where to watch, check premiere date, cast and plot",The Universal Films are coming with the fourth installment of the Despicable Me franchise -- Despicable Me 4. The trailer of the movie is yet to be released but Gru fans must be eager to know what the beloved villain has in store for them in the new series.
Ad,Watch: Berlin's Iconic Cinema 'Kino International' Celebrates 60 Years,"One of the most iconic movie theaters in middle of the city of Berlin, Germany is the Kino International. This classic one-screen movie palace is celebrating its 60th anniversary this year. The cinema was originally built and opened in 1963, the gem of East G…"
Ratings,Tis The Season: A Hallmark Christmas Movie Outrated Everything On Cable News Last Week,"Is it too early to start watching Christmas movies? Millions of people say no, as Hallmark trumps cable news shows ahead of Thanksgiving."
Announcements and Updates,Jenna Ortega Not Returning For Scream 7 Due To Wednesday Filming,"Jenna Ortega is now out of Scream 7. A day after co-star Melissa Barrera was removed from the film for controversial posts relating to the Israel-Hamas War, Deadline reports that Ortega will also not appear in the latest sequel in the slasher franchise. While…"
Announcements and Updates,New Karate Kid Movie With Ralph Macchio & Jackie Chan Will Unify The Franchise,"Learn More New Karate Kid Movie With Ralph Macchio & Jackie Chan Will Unify The Franchise It's the cinematic universe no one knew they ever needed. Fans have known for a while a new Karate Kid movie is in the works, scheduled to premiere on December 13, 2024.…"
Ratings,‘Origin’ Becomes The Highest Tested Movie Ever For NEON & Ava DuVernay,"EXCLUSIVE: We are hearing from sources that Origin, the new movie from Oscar nominated filmmaker Ava DuVernay, is not only the highest tested movie in her career, but for NEON, the pic’s distributor too. Origin landed a 91 total positive in the top two boxes …"
Announcements and Updates,Telugu Movie Bhagavanth Kesari OTT Release Date Almost Here,"Nandamuri Balakrishna’s Bhagavanth Kesari, has been setting the box office ablaze since its global release on October 19, 2023. Now, fans and movie enthusiasts are eagerly awaiting its digital premiere on Amazon Prime Video. The film’s cast, includes the debu…"
Announcements and Updates,New Regency’s ‘The Bikeriders’ Looking For A New Home,"New Regency’s Jeff Nichols directed crime drama The Bikeriders is getting shopped to rival studios and streamers after the movie stepped off its Dec. 1 theatrical release date, Deadline has confirmed. New Regency has a deal at 20th Century Studios/Disney, whi…"
Review,Santa Punishes the Naughty in Festive Horror Movie XXX-Mas,Santa’s Naughty List becomes a blood-splattered hitlist in the lewd and crude festive horror movie XXX-Mas. Bad Santa Director James Dean brings a sordid Christmas story to life where a bloodthirsty Santa wreaks havoc on the set of an eccentric adult film dir…
Announcements and Updates,A24 Announces New Film Babygirl With Nicole Kidman & Antonio Banderas,"A24 has announced a new film titled Babygirl from director Halina Reijn. The film is an erotic thriller that will star Nicole Kidman and Harris Dickinson (The Iron Claw), Antonio Banderas, Sophie Wilde (Talk to Me), and Jean Reno (Leon). Many of these creativ…"
Announcements and Updates,Five Nights at Freddy’s Movie Digital Release Date Revealed for US and UK,"The Five Nights at Freddy’s movie digital release date has been revealed, and UK fans frustrated by a lack of at-home viewing options will not have to wait too long. Five Nights at Freddy’s Movie Digital Release Date Prime Video has the Five Nights at Freddy’…"
Interview,"Taika Waititi Says His Star Wars Film Will ""Piss People Off""","It's been fascinating to watch certain sectors of nerds completely change how they feel about director Taika Waititi. At one point, it felt like he was bouncing around in all of the best genres and bringing some new, interesting angles that everyone seemed to…"
Announcements and Updates,Melissa Barrera Out Of Scream 7 After Controversial Comments,"Melissa Barrera, the centerpiece of the Scream franchise revival, is out of the seventh installment after posting controversial comments about the Israel-Hamas War, according to a report on THR. Barrera starred in 2022's Scream and this year's Scream VI, whic…"
Interview,"Saltburn' Features Some Wild, NSFW Moments: Jacob Elordi & Barry Keoghan React to Those Scenes","Jacob Elordi and Barry Keoghan‘s new movie Saltburn is out now in select theaters and there are some scenes that are definitely not safe for work. The two co-stars are featured in some compromising positions throughout the film, and Barry even goes full front…"
Interview,"Chicago Style: Andrew Davis on the Making of The Fugitive, Stony Island, and More","An interview with legendary Chicago filmmaker Andrew Davis about the making of The Fugitive, his directorial debut Stony Island, and going to college with Roger."
Announcements and Updates,Is There a 'Napoleon' Movie (2023) End Credits Scene? Details Revealed!,"Joaquin Phoenix‘s new epic movie Napoleon, directed by Ridley Scott, is now playing in theaters and you might be wondering if there’s a post-credits scene. Fans who are checking out the movie will likely want to know if they should stick around after the cred…"
Announcements and Updates,‘The Bikeriders’ Shopping for New Distributor,"The Jeff Nichols film, starring Austin Butler and Tom Hardy, was initially set to be released by 20th Century Studios
The post ‘The Bikeriders’ Shopping for New Distributor appeared first on TheWrap."
Announcements and Updates,‘The Cello’ Teaser Trailer – Darren Bousman and Tobin Bell Reteam for New Horror Movie,"Darren Lynn Bousman (Saw II-IV, Spiral) is back with brand new horror movie The Cello, which had its World Premiere on September 8 in Riyadh, Saudi Arabia at the Muvi Cinemas on famed Riyadh Boulevard. The film will release in North America on December 8. Whi…"
Announcements and Updates,Chupa Cast & Character Guide: Where You've Seen The Actors In The Netflix Family Movie,Netflix's fantasy family adventure Chupa has a cast of well-known stars alongside lesser-known actors and young talents just beginning their careers.
Review,Strikes Helped The “Community” Film Script,"At last report back in early October, the seemingly certain “Community” movie seemed less assured after creator Dan Harmon indicated the WGA and SAG strikes had an impact. At the time he confirmed he was able to get commitments from every cast member (except …"
Announcements and Updates,"Robert Pattinson Needed A ‘Makeover’ For Studio To Hire Him For ‘Twilight,’ Director Says","""He walked over there, I think, with a stained shirt,"" director Catherine Hardwicke recalled of Pattinson's early auditions for his breakout role."
List,Everything Coming to Disney+ in December 2023,"Disney+ is closing out 2023 with a strong line-up of movies, series, and more. The iconic adventurer Indiana Jones kicks off December with the debut of “Indiana Jones and the Dial of Destiny,” and a behind-the-scenes special, “Timeless Heroes: Indiana Jones &…"
Review,What is the Superman: Legacy cast?,"James Gunn, best known for directing the Guardians of the Galaxy movies, has a new gig: he’s in charge of the new DC Cinematic Universe. He’ll kick that off by directing Superman: Legacy, a new film that will once again reboot the story of the Man of Steel. B…"
Review,Timothée Chalamet looks like a Chocolate Factory worker in purple leather outfit at Tokyo ‘Wonka’ premiere,"The ""Dune"" star hit the red carpet in a shiny Prada set that brought to mind his character in the ""Charlie and the Chocolate Factory"" prequel."
Interview,Matt Bomer Turned Down 'Barbie' to Land Role on 'Fellow Travelers',Matt Bomer just revealed in a new interview that he decided to turn down a role in the Barbie movie that allowed him to star in two of the biggest gay roles of his career.
Announcements and Updates,Jeff Nichols' The Bikeriders Is Looking for a New Studio After Being Dropped by Disney,Jeff Nichols' The Bikeriders has been dropped by New Regency and Disney and is looking for a new home just a month after being moved off its original Dec. 1 theatrical release date.
Review,Harmony Korine Finds New Forms for His Twisted Visions,"The artist's newest paintings accompany his experimental film ""Aggro Dr1ft."""
Interview,‘Napoleon’ Director Ridley Scott Dismisses Critics: “The French Don’t Even Like Themselves’,"Ridley Scott has been typically dismissive of critics taking issue with his forthcoming movie Napoleon, particularly French ones. While his big-screen epic, starring Joaquin Phoenix as the embattled French emperor with Vanessa Kirby as his wife Josephine, has…"
List,Hulu Schedule November 20-26: New TV Shows & Movies Being Added,"Hulu‘s new TV and movie releases for November 20-26 include the English dub of My Hero Academia: Season 6 Part 2, Fargo Season 5, and Jon Favreau’s Elf. Starting on November 20, viewers can stream My Hero Academia: Season 6 Part 2 anime in English. This seaso…"
List,The Best New Movies And Shows On Netflix This Week,"As Netflix gears up for another exciting week, viewers can look forward to an array of new releases, spanning diverse genres and styles."
Review,Saturday Evening Movie Thread 11/18/2023 [TheJamesMadison],"Paul Leni In the late silent and early sound era, one of the chief imports to Hollywood was German directors. The most important import was probably Ernst Lubitsch, but there were definitely others such as F.W. Murnau and Fritz Lang..."
List,What is coming to Netflix this week from November 19 to 25: See the complete list,"Netflix expands its line-up with 14 new movies and shows this week from November 19 to 25. Highlights include the reality show ""Squid Game: The Challenge,"" premiering November 22, and animated movie ""Leo"" on November 21. Other releases feature a Swedish limit…"
Interview,Where Was 'A Merry Scottish Christmas' Filmed? Cast Stories,"Learn all about Hallmark's new film, ""A Merry Scottish Christmas,"" including where it was filmed and the cast involved."
Ad,How to watch the new Godzilla TV show ‘Monarch’ on Apple TV+,"The new Godzilla universe TV show Monarch: Legacy of Monsters is available to watch now on Apple TV+. Set after the events of the Godzilla (2014) movie, the show dives deep into the Monarch organization, spanning multiple family timelines. Here’s how to strea…"
Announcements and Updates,Don’t Expect Taylor Swift’s Concert Film To Hit Streamers This Year,"Taylor Swift's blockbuster 'Taylor Swift: The Eras Tour,' is still performing well at the box office, and it won't be available to stream until at least January."
Announcements and Updates,Jeddah-Set Saudi Fantasy Romance ‘HWJN’ To Open Saudi Arabia’s Red Sea Film Festival,"Saudi Arabia’s Red Sea International Film Festival will open its third edition, running from November 30 to December 9, with local movie HWJN, a fantasy romance combining Arabian folklore with modern themes that unfolds against the backdrop of the event’s hom…"
Review,The Strangler: Rare 1970 French Giallo Gets Premiere US Theatrical Run,"The Strangler, a rare French Giallo thriller by the late Paul Vecchiali, has been restored from 2K by Altered Innocence and begins a theatrical run in US arthouse theatres this week. The film opened in New York City and expanded to Los Angeles and other citie…"
Review,Joaquin Phoenix & Vanessa Kirby Attend UK Premiere of ‘Napoleon’ in London,"Joaquin Phoenix and Vanessa Kirby are stepping out for the UK premiere of their new movies. Joaquin, 49, and Vanessa, 35, posed for photos together while arriving at the premiere of Napoleon on Thursday (November 16) held at Odeon Luxe Leicester Square in Lon…"
Review,Spooktacular! Clip Focuses on the Infamous Mouse Girl of Spooky World,"The documentary about the Spooky World theme park, Spooktacular!, celebrates a successful festival run by bringing out a new movie clip. The clip focuses on one of Spooky World’s most infamous attractions, Mouse Girl. Aspiring actress Ruth Phelps transformed …"
Announcments,The Exorcist: Believer Streaming Release Date Announced (And It's Very Soon),"The official Peacock streaming premiere date has been announced for the legacy horror sequel The Exorcist: Believer, which features Ellen Burstyn."
Announcements and Updates,Lionsgate Drops Mark Wahlberg's Arthur the King Trailer,Arthur the King releases a new heartwarming trailer for the Mark Wahlberg movie.
Interview,Taika Waititi Gives Disappointing Update on His Star Wars Movie,"Waititi’s Star Wars movie isn’t coming anytime soon, but it is still in development."
Review,Monarch: Legacy of Monsters Series-Premiere Recap: Godzilla Returns,Bringing Godzilla to the small screen makes for a premiere that is light on monsters and heavy on human drama and intrigue. Read more in Vulture’s recap of the first episode of Apple TV+’s ‘Monarch: Legacy of Monsters.’
Review,Historian traces steps of Aussie outback cult classic film ahead of high-definition makeover,"Wake in Fright received a frosty reception when it premiered to outback audiences, but a new documentary is giving insight into its rise to a well-regarded piece of Australian cinema history."
Announcements and Updates,UPDATE: A NEW Pixar Series Has Been DELAYED on Disney+,"Here's an update on the premiere of Pixar's very FIRST streaming series!
The post UPDATE: A NEW Pixar Series Has Been DELAYED on Disney+ first appeared on the disney food blog."
Interview,Scott Pilgrim Takes Off Duo Explains the Netflix Premiere’s Jaw-Dropping Twist Ending: ‘It Felt Like the Right Choice’,"Whether your knowledge of the Scott Pilgrim franchise is limited to 2010’s live-action Scott Pilgrim vs. the World movie, or you’ve been a devoted reader of Bryan Lee O’Malley’s graphic novels since 2004, there’s absolutely no way you could have predicted the…"
Interview,Taika Waititi On His Upcoming ‘Star Wars’ Film: “It’s Gonna Piss People Off”,"No one knows when Taika Waititi‘s “Star Wars” movie will come out, but it’s still in the Lucasfilm pipeline. And outside of being in development, the only thing known about it is that it’ll come after Sharmeen Obaid-Chinoy, Dave Filoni, and James Mangold‘s up…"
Announcements and Updates,‘Fitting In’ Trailer: Maddie Ziegler & D’Pharoah Woon-A-Tai Star In A Coming-Of-Age “Traumedy”,"Growing up is hard, but growing up with MRKH syndrome (a rare reproductive condition that causes an underdeveloped uterus) is bloody hell. That’s the premise of upcoming coming-of-age movie “Fitting In” tackles, where Maddie Ziegler‘s teen Lindy discovers she…"
Ad,How to Stream the 2023 Gotham Awards,"Greta Gerwig, Bradley Cooper, Ben Affleck, Michael Mann, and George C. Wolfe are among the honorees for the awards show taking place November 27 in New York City."
Ratings,Killers Of The Flower Moon Box Office Crosses Worldwide Milestone Despite Dropping Out Of US Top 10,Killers of the Flower Moon's box office crosses a major milestone despite dropping out of the Top 10 in the US over the Thanksgiving weekend.
Announcements and Updates,"This week’s TV: Eddie Murphy makes a deal with an elf, ‘Bookie’ debuts, and the return of Blue Sky shows","Eddie Murphy stars in Amazon’s holiday comedy, “Candy Cane Lane,” as a man driven to win his neighborhood’s home decoration contest."
Ad,New on Paramount+ December 2023,"Holiday season is in full swing, awards season is on the way, and as ever, December is one of the most exciting months in streaming. So what’s new on Paramount+ this month? New movies streaming in December include Brian Helgeland’s Paramount+ original crime t…"
Review,12 Actors Who Appeared In Multiple Disney Channel Original Movies (Not Just Sequels),"Disney Channel is notorious for casting the same actors in several of their shows, and the same is true for Disney Channel Original Movies."
List,"What to stream this week: Harrison Ford, Paris Hilton, Peter Gabriel and Robin Hood battles robots","This week’s new entertainment releases include albums from Dove Cameron and Peter Gabriel, Harrison Ford’s last hurrah as Indiana Jones swings onto Disney+ and Elvis will be honored with a starry special “Christmas at Graceland” featuring Post Malone, ..."
Ratings,Ridley Scott's Napoleon Rides To A $33 Million Debut At The Thanksgiving Box Office,"Napoleon is battling Disney&amp;#39;s Wish for second place at the Thanksgiving box office, as Apple Original Films makes another bid for awards season prestige."
N/A,Estranged Kyle Richards and Mauricio Umansky Reunite on Thanksgiving,"Matt Winkelmeyer/2021 MTV Movie and TV Awards/Getty Images Kyle Richards and estranged husband Mauricio Umansky set aside their marital drama for the holidays. Umanksy, 53, gave fans a glimpse into his Thanksgiving celebration on Thursday, November 23 — and R…"
List,"Movies to watch in December, from 'Wonka' to 'The Color Purple'","A month for Beyoncé, Godzilla and Willy Wonka"
Interview,Will there be Barbie 2? Margot Robbie reveals details about the sequel,"Following the success of the initial Barbie movie, the excitement for a sequel is palpable. As fans eagerly await news about Barbie 2, Margot Robbie, the movie's star and a key figure in its success revealed the details about the possibility."
Ad,The strange $55 million saga of a Netflix series you will never see,"The project with Rinsch has turned into a costly fiasco, a microcosm of the era of profligate spending that Hollywood studios now are scrambling to end. Netflix burned more than $55 million on Rinsch's show and gave him near-total budgetary and creative latit…"
List,"What to stream this week: Harrison Ford, Paris Hilton, Peter Gabriel and Robin Hood battles robots","This week’s new entertainment releases include albums from Dove Cameron and Peter Gabriel, Harrison Ford’s last hurrah as Indiana Jones swings onto Disney+ and Elvis will be honored with a starry special “Christmas at Graceland” featuring Post Malone, Alanis …"
Announcements and Updates,"Israeli films, TV shows win prizes and fans worldwide",A TV series about an Israeli president's rape and harassment of women wins prize in major French festival.
Announcements and Updates,"Spiders, Snakes, and Trolls: It’s a Very MFL Thanksgiving","‘The Hunger Games: The Ballad of Songbirds and Snakes’ has hit the box office to a soft opening. Plus, ‘The Holdovers’ is also available in theaters, ‘Thanksgiving’ gets a wide release, and the MFL gets its first ever mid-season bonus prize."
List,"Top Makoto Shinkai Movies: Weathering With You, Your Name, and More",The Makoto Shinkai movies are famous for several distinctive features and thematic representations. His reputation as a masterful storyteller and animator is quite evident in the way he directs his movies. From stunning animation and aesthetic visuals to inno…
List,10 Best Noah Reid Movies & TV Shows Ranked,"While he gained huge exposure with Schitt's Creek, the best Noah Reid movies and TV shows also include the sci-fi and mystery genres."
N/A,Christmas Video Games To Play This Holiday Season,"As Old Man Winter closes in and various holiday scents whisper throughout our homes, millions find themselves cozying up with classic holiday-themed movies and TV ... Read More"
Ratings,Box Office Predictions: Disney’s Wish and Ridley Scott’s Napoleon lead a crowded Thanksgiving weekend,"Thanksgiving week is upon us and with it brings two new movies aimed at vastly different audiences.
The post Box Office Predictions: Disney’s Wish and Ridley Scott’s Napoleon lead a crowded Thanksgiving weekend appeared first on JoBlo."
